DB,Collection,Metric,VectorDim,NumVectors,BatchID,BatchSize,ThreadCount,BatchTime(s),TotalInsertedSoFar,TotalTimeElapsed(s),CPU(%),Memory(MB)
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,1,4,1,0.559,4,0.563,60.5,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,2,4,1,0.009,8,0.571,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,3,4,1,0.007,12,0.579,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,4,4,1,0.009,16,0.588,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,5,4,1,0.008,20,0.596,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,6,4,1,0.009,24,0.605,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,7,4,1,0.011,28,0.616,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,8,4,1,0.012,32,0.628,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,9,4,1,0.015,36,0.643,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,10,4,1,0.012,40,0.658,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,11,4,1,0.013,44,0.668,85.7,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,12,4,1,0.009,48,0.678,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,13,4,1,0.007,52,0.685,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,14,4,1,0.009,56,0.694,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,15,4,1,0.008,60,0.702,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,16,4,1,0.009,64,0.712,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,17,4,1,0.007,68,0.722,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,18,4,1,0.010,72,0.728,83.3,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,19,4,1,0.006,76,0.735,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,20,4,1,0.008,80,0.743,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,21,4,1,0.054,84,0.796,88.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,22,4,1,0.008,88,0.803,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,23,4,1,0.008,92,0.813,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,24,4,1,0.007,96,0.823,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,25,4,1,0.010,100,0.832,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,26,4,1,0.015,104,0.846,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,27,4,1,0.009,108,0.855,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,28,4,1,0.008,112,0.864,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,29,4,1,0.011,116,0.873,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,30,4,1,0.007,120,0.884,0.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,31,4,1,0.009,124,0.890,100.0,106.9
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,32,4,1,0.010,128,0.902,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,33,4,1,0.012,132,0.911,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,34,4,1,0.011,136,0.924,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,35,4,1,0.008,140,0.931,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,36,4,1,0.028,144,0.959,77.8,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,37,4,1,0.017,148,0.976,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,38,4,1,0.021,152,0.997,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,39,4,1,0.022,156,1.018,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,40,4,1,0.014,160,1.033,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,41,4,1,0.026,164,1.060,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,42,4,1,0.023,168,1.082,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,43,4,1,0.013,172,1.094,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,44,4,1,0.008,176,1.102,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,45,4,1,0.053,180,1.156,79.2,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,46,4,1,0.008,184,1.164,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,47,4,1,0.007,188,1.170,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,48,4,1,0.014,192,1.185,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,49,4,1,0.011,196,1.196,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,50,4,1,0.008,200,1.206,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,51,4,1,0.009,204,1.213,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,52,4,1,0.007,208,1.224,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,53,4,1,0.013,212,1.233,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,54,4,1,0.015,216,1.248,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,55,4,1,0.011,220,1.258,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,56,4,1,0.011,224,1.270,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,57,4,1,0.010,228,1.280,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,58,4,1,0.008,232,1.288,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,59,4,1,0.009,236,1.296,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,60,4,1,0.007,240,1.304,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,61,4,1,0.011,244,1.315,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,62,4,1,0.008,248,1.323,100.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,63,4,1,0.007,252,1.331,0.0,107.0
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,64,4,1,0.008,256,1.339,42.9,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,65,4,1,0.007,260,1.347,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,66,4,1,0.007,264,1.353,80.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,67,4,1,0.007,268,1.360,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,68,4,1,0.008,272,1.368,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,69,4,1,0.008,276,1.376,100.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,70,4,1,0.007,280,1.382,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,71,4,1,0.007,284,1.390,100.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,72,4,1,0.008,288,1.398,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,73,4,1,0.007,292,1.405,100.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,74,4,1,0.008,296,1.414,0.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,75,4,1,0.009,300,1.423,100.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,76,4,1,0.011,304,1.435,100.0,107.1
Milvus,NewsArticle_L2_32d_1000v,L2,32,1000,77,4,1,0.010,308,1.444,0.0,107.1
