Collection,NumEntities,ApproxBytes,VectorDim,VectorSubset,BatchSize,Metric,Timestamp
NewsArticle_L2_32d_1000v_bs4,1000,386000,32,1000,4,L2,1758039578.341681
NewsArticle_L2_32d_1000v_bs8,1000,386000,32,1000,8,L2,1758039582.3641665
NewsArticle_L2_32d_1000v_bs16,1000,386000,32,1000,16,L2,1758039585.9948926
NewsArticle_L2_32d_1000v_bs32,1000,386000,32,1000,32,L2,1758039589.465742
NewsArticle_L2_32d_1000v_bs128,1000,386000,32,1000,128,L2,1758039592.4752064
NewsArticle_COSINE_32d_1000v_bs4,1000,386000,32,1000,4,COSINE,1758039598.3090274
NewsArticle_COSINE_32d_1000v_bs8,1000,386000,32,1000,8,COSINE,1758039602.541248
NewsArticle_COSINE_32d_1000v_bs16,1000,386000,32,1000,16,COSINE,1758039605.7238772
NewsArticle_COSINE_32d_1000v_bs32,1000,386000,32,1000,32,COSINE,1758039608.8265371
NewsArticle_COSINE_32d_1000v_bs128,1000,386000,32,1000,128,COSINE,1758039612.095634
NewsArticle_IP_32d_1000v_bs4,1000,386000,32,1000,4,IP,1758039617.073636
NewsArticle_IP_32d_1000v_bs8,1000,386000,32,1000,8,IP,1758039620.6892688
NewsArticle_IP_32d_1000v_bs16,1000,386000,32,1000,16,IP,1758039623.7229853
NewsArticle_IP_32d_1000v_bs32,1000,386000,32,1000,32,IP,1758039626.6968975
NewsArticle_IP_32d_1000v_bs128,1000,386000,32,1000,128,IP,1758039629.6493692
NewsArticle_L2_32d_5000v_bs4,5000,1930000,32,5000,4,L2,1758039641.5321224
NewsArticle_L2_32d_5000v_bs8,5000,1930000,32,5000,8,L2,1758039648.7803338
NewsArticle_L2_32d_5000v_bs16,5000,1930000,32,5000,16,L2,1758039653.8268352
NewsArticle_L2_32d_5000v_bs32,5000,1930000,32,5000,32,L2,1758039657.833413
NewsArticle_L2_32d_5000v_bs128,5000,1930000,32,5000,128,L2,1758039661.4070072
NewsArticle_COSINE_32d_5000v_bs4,5000,1930000,32,5000,4,COSINE,1758039674.1493127
NewsArticle_COSINE_32d_5000v_bs8,5000,1930000,32,5000,8,COSINE,1758039681.606773
NewsArticle_COSINE_32d_5000v_bs16,5000,1930000,32,5000,16,COSINE,1758039687.5267923
NewsArticle_COSINE_32d_5000v_bs32,5000,1930000,32,5000,32,COSINE,1758039692.3780615
NewsArticle_COSINE_32d_5000v_bs128,5000,1930000,32,5000,128,COSINE,1758039696.4503145
NewsArticle_IP_32d_5000v_bs4,5000,1930000,32,5000,4,IP,1758039711.527471
NewsArticle_IP_32d_5000v_bs8,5000,1930000,32,5000,8,IP,1758039719.4499114
NewsArticle_IP_32d_5000v_bs16,5000,1930000,32,5000,16,IP,1758039724.7216713
NewsArticle_IP_32d_5000v_bs32,5000,1930000,32,5000,32,IP,1758039728.7622082
NewsArticle_IP_32d_5000v_bs128,5000,1930000,32,5000,128,IP,1758039732.4618812
NewsArticle_L2_64d_1000v_bs4,1000,514000,64,1000,4,L2,1758039737.623942
NewsArticle_L2_64d_1000v_bs8,1000,514000,64,1000,8,L2,1758039741.7406714
NewsArticle_L2_64d_1000v_bs16,1000,514000,64,1000,16,L2,1758039745.4730837
NewsArticle_L2_64d_1000v_bs32,1000,514000,64,1000,32,L2,1758039749.7004592
NewsArticle_L2_64d_1000v_bs128,1000,514000,64,1000,128,L2,1758039752.7146466
NewsArticle_COSINE_64d_1000v_bs4,1000,514000,64,1000,4,COSINE,1758039757.713327
NewsArticle_COSINE_64d_1000v_bs8,1000,514000,64,1000,8,COSINE,1758039761.2817273
NewsArticle_COSINE_64d_1000v_bs16,1000,514000,64,1000,16,COSINE,1758039765.0256956
NewsArticle_COSINE_64d_1000v_bs32,1000,514000,64,1000,32,COSINE,1758039769.3752344
NewsArticle_COSINE_64d_1000v_bs128,1000,514000,64,1000,128,COSINE,1758039772.9998057
NewsArticle_IP_64d_1000v_bs4,1000,514000,64,1000,4,IP,1758039777.446519
NewsArticle_IP_64d_1000v_bs8,1000,514000,64,1000,8,IP,1758039781.471728
NewsArticle_IP_64d_1000v_bs16,1000,514000,64,1000,16,IP,1758039785.082296
NewsArticle_IP_64d_1000v_bs32,1000,514000,64,1000,32,IP,1758039789.3523474
NewsArticle_IP_64d_1000v_bs128,1000,514000,64,1000,128,IP,1758039792.4089925
NewsArticle_L2_64d_5000v_bs4,5000,2570000,64,5000,4,L2,1758039803.807488
NewsArticle_L2_64d_5000v_bs8,5000,2570000,64,5000,8,L2,1758039810.4498491
NewsArticle_L2_64d_5000v_bs16,5000,2570000,64,5000,16,L2,1758039815.669589
NewsArticle_L2_64d_5000v_bs32,5000,2570000,64,5000,32,L2,1758039827.0512974
NewsArticle_L2_64d_5000v_bs128,5000,2570000,64,5000,128,L2,1758039832.7587903
NewsArticle_COSINE_64d_5000v_bs4,5000,2570000,64,5000,4,COSINE,1758039847.37243
NewsArticle_COSINE_64d_5000v_bs8,5000,2570000,64,5000,8,COSINE,1758039855.430218
NewsArticle_COSINE_64d_5000v_bs16,5000,2570000,64,5000,16,COSINE,1758039860.645434
NewsArticle_COSINE_64d_5000v_bs32,5000,2570000,64,5000,32,COSINE,1758039871.9610689
NewsArticle_COSINE_64d_5000v_bs128,5000,2570000,64,5000,128,COSINE,1758039876.804898
